onset	duration	value	sample
28.563	0.0	121	28563
29.663	0.0	520	29663
32.098	0.0	122	32098
33.198	0.0	510	33198
35.633	0.0	212	35633
36.733	0.0	530	36733
39.168	0.0	102	39168
41.186	0.0	202	41186
43.203	0.0	110	43203
45.221	0.0	220	45221
47.239	0.0	221	47239
48.339	0.0	530	48339
50.774	0.0	101	50774
52.791	0.0	112	52791
53.892	0.0	520	53892
56.326	0.0	201	56326
58.344	0.0	120	58344
60.362	0.0	210	60362
62.379	0.0	111	62379
63.48	0.0	510	63480
67.932	0.0	412	67932
68.933	0.0	600	68933
75.553	0.0	630	75553
76.637	0.0	322	76637
77.637	0.0	600	77637
89.343	0.0	610	89343
90.427	0.0	321	90427
91.427	0.0	600	91427
101.066	0.0	610	101066
102.149	0.0	421	102149
103.15	0.0	600	103150
110.087	0.0	610	110087
111.171	0.0	312	111171
112.171	0.0	600	112171
116.023	0.0	610	116023
117.107	0.0	311	117107
118.107	0.0	600	118107
124.661	0.0	610	124661
143.02	0.0	203	143020
145.038	0.0	202	145038
147.055	0.0	201	147055
149.073	0.0	130	149073
151.091	0.0	260	151091
153.108	0.0	234	153108
154.209	0.0	530	154209
156.643	0.0	204	156643
158.661	0.0	142	158661
159.762	0.0	520	159762
162.196	0.0	104	162196
164.214	0.0	140	164214
166.232	0.0	131	166232
167.332	0.0	520	167332
169.767	0.0	216	169767
170.867	0.0	530	170867
173.302	0.0	230	173302
175.32	0.0	240	175320
177.337	0.0	105	177337
179.355	0.0	265	179355
180.455	0.0	530	180455
182.89	0.0	144	182890
183.991	0.0	510	183991
186.425	0.0	221	186425
187.526	0.0	530	187526
189.96	0.0	253	189960
191.061	0.0	530	191061
193.495	0.0	106	193495
195.513	0.0	126	195513
196.614	0.0	520	196614
199.048	0.0	206	199048
201.066	0.0	122	201066
202.166	0.0	510	202166
204.601	0.0	150	204601
206.619	0.0	155	206619
207.719	0.0	510	207719
210.154	0.0	242	210154
211.254	0.0	530	211254
213.689	0.0	165	213689
214.789	0.0	520	214789
217.224	0.0	102	217224
219.242	0.0	101	219242
221.259	0.0	113	221259
222.36	0.0	520	222360
224.794	0.0	103	224794
226.812	0.0	133	226812
227.913	0.0	510	227913
230.347	0.0	166	230347
231.448	0.0	510	231448
233.882	0.0	110	233882
235.9	0.0	210	235900
237.918	0.0	220	237918
239.935	0.0	120	239935
241.953	0.0	205	241953
243.971	0.0	250	243971
245.988	0.0	111	245988
247.089	0.0	510	247089
249.523	0.0	154	249523
250.624	0.0	520	250624
253.059	0.0	160	253059
257.094	0.0	326	257094
258.094	0.0	600	258094
265.748	0.0	630	265748
266.832	0.0	311	266832
267.833	0.0	600	267833
272.635	0.0	610	272635
273.719	0.0	366	273719
274.719	0.0	600	274719
283.29	0.0	630	283290
284.374	0.0	344	284374
285.375	0.0	600	285375
295.88	0.0	610	295880
296.964	0.0	331	296964
297.964	0.0	600	297964
303.067	0.0	610	303067
304.151	0.0	365	304151
305.151	0.0	600	305151
307.769	0.0	630	307769
308.853	0.0	434	308853
309.854	0.0	600	309854
329.063	0.0	630	329063
330.147	0.0	355	330147
331.148	0.0	600	331148
335.884	0.0	630	335884
336.967	0.0	442	336967
337.968	0.0	600	337968
345.088	0.0	630	345088
346.172	0.0	416	346172
347.173	0.0	600	347173
349.557	0.0	630	349557
350.641	0.0	354	350641
351.641	0.0	600	351641
358.562	0.0	630	358562
359.645	0.0	342	359645
360.646	0.0	600	360646
370.317	0.0	630	370317
371.401	0.0	322	371401
372.402	0.0	600	372402
376.737	0.0	630	376737
377.821	0.0	421	377821
378.822	0.0	600	378822
386.209	0.0	610	386209
387.293	0.0	333	387293
388.293	0.0	600	388293
391.712	0.0	610	391712
392.795	0.0	465	392795
393.796	0.0	600	393796
399.482	0.0	630	399482
400.566	0.0	453	400566
401.567	0.0	600	401567
406.819	0.0	610	406819
407.903	0.0	313	407903
408.904	0.0	600	408904
414.356	0.0	630	414356
450.158	0.0	231	450158
451.258	0.0	530	451258
453.693	0.0	260	453693
455.71	0.0	130	455710
457.728	0.0	111	457728
458.829	0.0	510	458829
461.263	0.0	250	461263
463.281	0.0	166	463281
464.381	0.0	510	464381
466.816	0.0	145	466816
467.917	0.0	520	467917
470.351	0.0	150	470351
472.369	0.0	240	472369
474.386	0.0	106	474386
476.404	0.0	112	476404
477.505	0.0	520	477505
479.939	0.0	134	479939
481.04	0.0	520	481040
483.474	0.0	203	483474
485.492	0.0	201	485492
487.51	0.0	206	487510
