onset	duration	value	sample
16.516	0.0	166	16516
17.616	0.0	510	17616
20.051	0.0	240	20051
22.068	0.0	111	22068
23.169	0.0	510	23169
25.603	0.0	106	25603
27.621	0.0	153	27621
28.722	0.0	520	28722
31.156	0.0	265	31156
32.257	0.0	530	32257
34.691	0.0	135	34691
35.792	0.0	520	35792
38.226	0.0	216	38226
39.327	0.0	530	39327
41.762	0.0	224	41762
42.862	0.0	530	42862
45.297	0.0	204	45297
47.314	0.0	203	47314
49.332	0.0	150	49332
51.35	0.0	250	51350
53.367	0.0	120	53367
55.385	0.0	220	55385
57.403	0.0	144	57403
58.503	0.0	510	58503
60.938	0.0	110	60938
62.956	0.0	260	62956
64.973	0.0	103	64973
66.991	0.0	202	66991
69.009	0.0	205	69009
71.026	0.0	126	71026
72.127	0.0	520	72127
74.561	0.0	232	74561
75.662	0.0	530	75662
78.096	0.0	160	78096
80.114	0.0	105	80114
82.132	0.0	241	82132
83.232	0.0	530	83232
85.667	0.0	142	85667
86.768	0.0	520	86768
89.202	0.0	161	89202
90.303	0.0	520	90303
92.737	0.0	114	92737
93.838	0.0	520	93838
96.272	0.0	155	96272
97.373	0.0	510	97373
99.807	0.0	122	99807
100.908	0.0	510	100908
103.343	0.0	201	103343
105.36	0.0	210	105360
107.378	0.0	130	107378
109.396	0.0	101	109396
111.413	0.0	102	111413
113.431	0.0	253	113431
114.531	0.0	530	114531
116.966	0.0	230	116966
118.984	0.0	104	118984
121.001	0.0	140	121001
123.019	0.0	206	123019
125.037	0.0	133	125037
126.137	0.0	510	126137
130.59	0.0	432	130590
131.59	0.0	600	131590
133.041	0.0	610	133041
134.125	0.0	326	134125
135.125	0.0	600	135125
136.076	0.0	610	136076
137.159	0.0	344	137159
138.16	0.0	600	138160
139.094	0.0	610	139094
140.178	0.0	465	140178
141.178	0.0	600	141178
142.162	0.0	610	142162
143.246	0.0	361	143246
144.246	0.0	600	144246
145.297	0.0	610	145297
146.381	0.0	441	146381
147.381	0.0	600	147381
148.582	0.0	610	148582
149.666	0.0	353	149666
150.666	0.0	600	150666
151.884	0.0	610	151884
152.967	0.0	311	152967
153.968	0.0	600	153968
156.019	0.0	424	156019
157.019	0.0	600	157019
158.003	0.0	610	158003
159.087	0.0	333	159087
160.088	0.0	600	160088
161.238	0.0	610	161238
162.322	0.0	416	162322
163.323	0.0	600	163323
164.356	0.0	610	164356
165.424	0.0	453	165424
166.424	0.0	600	166424
168.959	0.0	322	168959
169.959	0.0	600	169959
171.844	0.0	610	171844
172.927	0.0	366	172927
173.928	0.0	600	173928
174.712	0.0	610	174712
175.796	0.0	335	175796
176.796	0.0	600	176796
177.73	0.0	610	177730
178.814	0.0	314	178814
179.814	0.0	600	179814
181.999	0.0	610	181999
183.083	0.0	355	183083
184.083	0.0	600	184083
185.25	0.0	610	185250
186.334	0.0	342	186334
187.335	0.0	600	187335
188.535	0.0	610	188535
202.726	0.0	104	202726
204.743	0.0	245	204743
205.844	0.0	530	205844
208.279	0.0	133	208279
209.379	0.0	510	209379
211.814	0.0	166	211814
212.914	0.0	510	212914
215.349	0.0	165	215349
216.449	0.0	520	216449
218.884	0.0	102	218884
220.902	0.0	210	220902
222.919	0.0	106	222919
224.937	0.0	122	224937
226.037	0.0	510	226037
228.472	0.0	136	228472
229.573	0.0	520	229573
232.007	0.0	231	232007
233.108	0.0	530	233108
235.542	0.0	230	235542
237.56	0.0	205	237560
239.578	0.0	103	239578
241.595	0.0	110	241595
243.613	0.0	120	243613
245.631	0.0	214	245631
246.731	0.0	530	246731
249.166	0.0	154	249166
250.266	0.0	520	250266
252.701	0.0	112	252701
253.801	0.0	520	253801
256.236	0.0	262	256236
257.337	0.0	530	257337
259.771	0.0	202	259771
261.789	0.0	256	261789
262.889	0.0	530	262889
265.324	0.0	250	265324
267.342	0.0	101	267342
269.359	0.0	150	269359
271.377	0.0	105	271377
273.395	0.0	203	273395
275.412	0.0	111	275412
276.513	0.0	510	276513
278.947	0.0	223	278947
280.048	0.0	530	280048
282.482	0.0	260	282482
284.5	0.0	155	284500
285.601	0.0	510	285601
288.035	0.0	130	288035
290.053	0.0	204	290053
292.071	0.0	140	292071
294.088	0.0	240	294088
296.106	0.0	144	296106
297.207	0.0	510	297207
299.641	0.0	220	299641
301.659	0.0	141	301659
302.759	0.0	520	302759
305.194	0.0	160	305194
307.212	0.0	206	307212
309.229	0.0	123	309229
310.33	0.0	520	310330
312.764	0.0	201	312764
316.8	0.0	344	316800
317.8	0.0	600	317800
318.751	0.0	610	318751
319.835	0.0	322	319835
320.835	0.0	600	320835
321.836	0.0	610	321836
322.919	0.0	414	322919
323.92	0.0	600	323920
324.97	0.0	610	324970
326.054	0.0	312	326054
327.055	0.0	600	327055
330.823	0.0	610	330823
331.907	0.0	423	331907
332.908	0.0	600	332908
333.758	0.0	610	333758
334.842	0.0	431	334842
335.843	0.0	600	335843
336.776	0.0	610	336776
337.86	0.0	355	337860
338.861	0.0	600	338861
339.461	0.0	610	339461
340.545	0.0	366	340545
341.545	0.0	600	341545
342.629	0.0	610	342629
343.713	0.0	456	343713
344.714	0.0	600	344714
346.248	0.0	610	346248
347.332	0.0	445	347332
348.332	0.0	600	348332
350.45	0.0	341	350450
351.45	0.0	600	351450
352.884	0.0	610	352884
353.968	0.0	333	353968
354.969	0.0	600	354969
356.586	0.0	610	356586
357.67	0.0	462	357670
358.671	0.0	600	358671
359.655	0.0	610	359655
360.738	0.0	311	360738
361.739	0.0	600	361739
365.357	0.0	610	365357
366.441	0.0	323	366441
367.442	0.0	600	367442
368.859	0.0	610	368859
369.943	0.0	336	369943
370.944	0.0	600	370944
371.961	0.0	610	371961
373.045	0.0	365	373045
374.045	0.0	600	374045
375.029	0.0	610	375029
376.113	0.0	354	376113
377.113	0.0	600	377113
378.08	0.0	610	378080
392.271	0.0	103	392271
394.289	0.0	201	394289
396.306	0.0	150	396306
398.324	0.0	130	398324
400.342	0.0	106	400342
402.359	0.0	144	402359
403.46	0.0	510	403460
405.894	0.0	104	405894
407.912	0.0	110	407912
409.93	0.0	125	409930
411.03	0.0	520	411030
413.465	0.0	240	413465
415.483	0.0	122	415483
416.583	0.0	510	416583
419.018	0.0	134	419018
420.118	0.0	520	420118
422.553	0.0	102	422553
424.57	0.0	220	424570
426.588	0.0	162	426588
427.689	0.0	520	427689
430.123	0.0	105	430123
432.141	0.0	252	432141
433.242	0.0	530	433242
435.676	0.0	250	435676
437.694	0.0	215	437694
438.794	0.0	530	438794
441.229	0.0	111	441229
442.329	0.0	510	442329
444.764	0.0	202	444764
446.782	0.0	133	446782
447.882	0.0	510	447882
450.317	0.0	221	450317
451.417	0.0	530	451417
453.852	0.0	140	453852
455.87	0.0	204	455870
457.887	0.0	264	457887
458.988	0.0	530	458988
461.422	0.0	236	461422
462.523	0.0	530	462523
464.957	0.0	143	464957
466.058	0.0	520	466058
468.493	0.0	203	468493
470.51	0.0	151	470510
471.611	0.0	520	471611
474.045	0.0	155	474045
475.146	0.0	510	475146
477.58	0.0	160	477580
479.598	0.0	166	479598
480.699	0.0	510	480699
483.133	0.0	206	483133
485.151	0.0	120	485151
487.169	0.0	205	487169
489.186	0.0	116	489186
490.287	0.0	520	490287
492.721	0.0	243	492721
493.822	0.0	530	493822
496.256	0.0	101	496256
498.274	0.0	230	498274
500.292	0.0	260	500292
502.31	0.0	210	502310
506.345	0.0	443	506345
507.345	0.0	600	507345
