onset	duration	value	sample
10.035	0.0	155	10035
11.135	0.0	510	11135
13.57	0.0	220	13570
15.587	0.0	166	15587
16.688	0.0	510	16688
19.122	0.0	105	19122
21.14	0.0	156	21140
22.241	0.0	520	22241
24.675	0.0	144	24675
25.776	0.0	510	25776
28.21	0.0	124	28210
29.311	0.0	520	29311
31.745	0.0	253	31745
32.846	0.0	530	32846
35.281	0.0	214	35281
36.381	0.0	530	36381
38.816	0.0	103	38816
40.833	0.0	250	40833
42.851	0.0	206	42851
44.869	0.0	143	44869
45.969	0.0	520	45969
48.404	0.0	226	48404
49.504	0.0	530	49504
51.939	0.0	240	51939
53.957	0.0	120	53957
55.974	0.0	111	55974
57.075	0.0	510	57075
59.509	0.0	201	59509
61.527	0.0	241	61527
62.628	0.0	530	62628
65.062	0.0	150	65062
67.08	0.0	130	67080
69.098	0.0	131	69098
70.198	0.0	520	70198
72.633	0.0	102	72633
74.65	0.0	162	74650
75.751	0.0	520	75751
78.185	0.0	235	78185
79.286	0.0	530	79286
81.721	0.0	101	81721
83.738	0.0	140	83738
85.756	0.0	110	85756
87.774	0.0	160	87774
89.791	0.0	203	89791
91.809	0.0	230	91809
93.827	0.0	122	93827
94.927	0.0	510	94927
97.362	0.0	260	97362
99.379	0.0	204	99379
101.397	0.0	115	101397
102.498	0.0	520	102498
104.932	0.0	133	104932
106.033	0.0	510	106033
108.467	0.0	205	108467
110.485	0.0	104	110485
112.503	0.0	210	112503
114.52	0.0	106	114520
116.538	0.0	202	116538
118.556	0.0	262	118556
119.656	0.0	530	119656
124.109	0.0	441	124109
125.109	0.0	600	125109
128.027	0.0	610	128027
129.111	0.0	322	129111
130.112	0.0	600	130112
130.979	0.0	610	130979
132.063	0.0	315	132063
133.063	0.0	600	133063
133.747	0.0	610	133747
134.831	0.0	356	134831
135.831	0.0	600	135831
136.448	0.0	610	136448
137.532	0.0	344	137532
138.532	0.0	600	138532
139.366	0.0	610	139366
140.45	0.0	414	140450
141.451	0.0	600	141451
142.151	0.0	610	142151
143.235	0.0	331	143235
144.235	0.0	600	144235
145.002	0.0	610	145002
146.086	0.0	362	146086
147.087	0.0	600	147087
147.77	0.0	610	147770
148.854	0.0	333	148854
149.855	0.0	600	149855
150.472	0.0	610	150472
151.556	0.0	366	151556
152.556	0.0	600	152556
153.357	0.0	610	153357
154.44	0.0	453	154440
155.441	0.0	600	155441
156.041	0.0	610	156041
157.125	0.0	435	157125
158.126	0.0	600	158126
158.693	0.0	610	158693
159.776	0.0	355	159776
160.777	0.0	600	160777
161.461	0.0	610	161461
162.544	0.0	324	162544
163.545	0.0	600	163545
164.362	0.0	610	164362
165.446	0.0	426	165446
166.446	0.0	600	166446
167.147	0.0	610	167147
168.231	0.0	343	168231
169.231	0.0	600	169231
169.882	0.0	610	169882
170.965	0.0	311	170965
171.966	0.0	600	171966
172.716	0.0	610	172716
173.8	0.0	462	173800
174.801	0.0	600	174801
175.484	0.0	610	175484
182.855	0.0	203	182855
184.872	0.0	101	184872
186.89	0.0	125	186890
187.991	0.0	520	187991
190.425	0.0	206	190425
192.443	0.0	140	192443
194.46	0.0	141	194460
195.561	0.0	520	195561
197.996	0.0	164	197996
199.096	0.0	520	199096
201.531	0.0	201	201531
203.548	0.0	230	203548
205.566	0.0	106	205566
207.584	0.0	220	207584
209.601	0.0	155	209601
210.702	0.0	510	210702
213.137	0.0	153	213137
214.237	0.0	520	214237
216.672	0.0	150	216672
218.689	0.0	204	218689
220.707	0.0	166	220707
221.808	0.0	510	221808
224.242	0.0	256	224242
225.343	0.0	530	225343
227.777	0.0	223	227777
