onset	duration	value	sample
18.176	0.0	212	18176
19.276	0.0	530	19276
21.711	0.0	201	21711
23.728	0.0	210	23728
25.746	0.0	112	25746
26.847	0.0	520	26847
29.281	0.0	111	29281
30.382	0.0	510	30382
32.816	0.0	110	32816
34.834	0.0	202	34834
36.852	0.0	121	36852
37.952	0.0	520	37952
40.387	0.0	120	40387
42.404	0.0	101	42404
44.422	0.0	102	44422
46.44	0.0	220	46440
48.458	0.0	221	48458
49.558	0.0	530	49558
51.993	0.0	122	51993
53.093	0.0	510	53093
57.545	0.0	312	57545
58.546	0.0	600	58546
64.932	0.0	630	64932
66.016	0.0	412	66016
67.017	0.0	600	67017
69.985	0.0	610	69985
71.069	0.0	311	71069
72.069	0.0	600	72069
74.737	0.0	610	74737
75.821	0.0	421	75821
76.822	0.0	600	76822
79.707	0.0	630	79707
80.79	0.0	322	80790
81.791	0.0	600	81791
84.542	0.0	610	84542
85.626	0.0	321	85626
86.627	0.0	600	86627
88.378	0.0	610	88378
104.169	0.0	101	104169
106.187	0.0	225	106187
107.287	0.0	530	107287
109.722	0.0	231	109722
110.822	0.0	530	110822
113.257	0.0	260	113257
115.274	0.0	122	115274
116.375	0.0	510	116375
118.809	0.0	240	118809
120.827	0.0	105	120827
122.845	0.0	102	122845
124.863	0.0	141	124863
125.963	0.0	520	125963
128.398	0.0	201	128398
130.415	0.0	206	130415
132.433	0.0	264	132433
133.534	0.0	530	133534
135.968	0.0	103	135968
137.986	0.0	124	137986
139.086	0.0	520	139086
141.521	0.0	213	141521
142.621	0.0	530	142621
145.056	0.0	163	145056
146.157	0.0	520	146157
148.591	0.0	155	148591
149.692	0.0	510	149692
152.126	0.0	210	152126
154.144	0.0	230	154144
156.162	0.0	202	156162
158.179	0.0	150	158179
160.197	0.0	204	160197
162.215	0.0	203	162215
164.232	0.0	106	164232
166.25	0.0	166	166250
167.351	0.0	510	167351
169.785	0.0	250	169785
171.803	0.0	120	171803
173.82	0.0	116	173820
174.921	0.0	520	174921
177.356	0.0	133	177356
178.456	0.0	510	178456
180.891	0.0	111	180891
181.991	0.0	510	181991
184.426	0.0	205	184426
186.443	0.0	140	186443
188.461	0.0	104	188461
190.479	0.0	160	190479
192.496	0.0	135	192496
193.597	0.0	520	193597
196.032	0.0	246	196032
197.132	0.0	530	197132
199.567	0.0	220	199567
201.584	0.0	110	201584
203.602	0.0	152	203602
204.703	0.0	520	204703
207.137	0.0	130	207137
209.155	0.0	252	209155
210.255	0.0	530	210255
212.69	0.0	144	212690
213.79	0.0	510	213790
218.243	0.0	311	218243
219.243	0.0	600	219243
225.146	0.0	630	225146
226.23	0.0	316	226230
227.231	0.0	600	227231
231.399	0.0	610	231399
232.483	0.0	335	232483
233.484	0.0	600	233484
237.069	0.0	630	237069
238.153	0.0	431	238153
239.153	0.0	600	239153
241.088	0.0	630	241088
242.171	0.0	333	242171
243.172	0.0	600	243172
246.374	0.0	630	246374
247.457	0.0	341	247457
248.458	0.0	600	248458
250.959	0.0	610	250959
252.043	0.0	366	252043
253.044	0.0	600	253044
255.395	0.0	630	255395
256.479	0.0	322	256479
257.479	0.0	600	257479
259.98	0.0	610	259980
261.064	0.0	363	261064
262.065	0.0	600	262065
267.101	0.0	610	267101
268.184	0.0	344	268184
269.185	0.0	600	269185
274.771	0.0	630	274771
275.855	0.0	452	275855
276.855	0.0	600	276855
279.14	0.0	630	279140
280.224	0.0	446	280224
281.224	0.0	600	281224
282.542	0.0	610	282542
283.626	0.0	355	283626
284.626	0.0	600	284626
290.262	0.0	610	290262
291.346	0.0	413	291346
292.347	0.0	600	292347
296.549	0.0	610	296549
297.633	0.0	425	297633
298.633	0.0	600	298633
301.384	0.0	630	301384
302.468	0.0	464	302468
303.469	0.0	600	303469
306.604	0.0	610	306604
307.688	0.0	352	307688
308.688	0.0	600	308688
313.507	0.0	630	313507
314.591	0.0	324	314591
315.592	0.0	600	315592
320.811	0.0	630	320811
338.186	0.0	123	338186
339.287	0.0	520	339287
341.721	0.0	230	341721
343.739	0.0	146	343739
344.84	0.0	520	344840
347.274	0.0	104	347274
349.292	0.0	102	349292
351.31	0.0	150	351310
353.327	0.0	260	353327
355.345	0.0	120	355345
357.363	0.0	166	357363
358.463	0.0	510	358463
360.898	0.0	203	360898
362.915	0.0	165	362915
364.016	0.0	520	364016
366.45	0.0	122	366450
367.551	0.0	510	367551
369.986	0.0	103	369986
