onset	duration	value	sample
13.223	0.0	103	13223
15.24	0.0	260	15240
17.258	0.0	120	17258
19.276	0.0	134	19276
20.376	0.0	520	20376
22.811	0.0	133	22811
23.911	0.0	510	23911
26.346	0.0	202	26346
28.364	0.0	122	28364
29.464	0.0	510	29464
31.899	0.0	230	31899
33.916	0.0	241	33916
35.017	0.0	530	35017
37.452	0.0	115	37452
38.552	0.0	520	38552
40.987	0.0	204	40987
43.004	0.0	203	43004
45.022	0.0	104	45022
47.04	0.0	206	47040
49.057	0.0	106	49057
51.075	0.0	141	51075
52.176	0.0	520	52176
54.61	0.0	152	54610
55.711	0.0	520	55711
58.145	0.0	226	58145
59.246	0.0	530	59246
61.68	0.0	126	61680
62.781	0.0	520	62781
65.216	0.0	160	65216
67.233	0.0	110	67233
69.251	0.0	166	69251
70.351	0.0	510	70351
72.786	0.0	265	72786
73.887	0.0	530	73887
76.321	0.0	111	76321
77.422	0.0	510	77422
79.856	0.0	201	79856
81.874	0.0	140	81874
83.892	0.0	253	83892
84.992	0.0	530	84992
87.427	0.0	234	87427
88.527	0.0	530	88527
90.962	0.0	220	90962
92.979	0.0	130	92979
94.997	0.0	155	94997
96.098	0.0	510	96098
98.532	0.0	150	98532
100.55	0.0	210	100550
102.568	0.0	250	102568
104.585	0.0	163	104585
105.686	0.0	520	105686
108.12	0.0	105	108120
110.138	0.0	101	110138
112.156	0.0	144	112156
113.256	0.0	510	113256
115.691	0.0	205	115691
117.709	0.0	212	117709
118.809	0.0	530	118809
121.244	0.0	102	121244
123.261	0.0	240	123261
127.297	0.0	434	127297
128.297	0.0	600	128297
129.064	0.0	610	129064
130.148	0.0	412	130148
131.149	0.0	600	131149
132.116	0.0	610	132116
133.2	0.0	453	133200
134.2	0.0	600	134200
135.051	0.0	610	135051
136.135	0.0	426	136135
137.135	0.0	600	137135
138.069	0.0	610	138069
139.153	0.0	465	139153
140.153	0.0	600	140153
140.787	0.0	610	140787
141.871	0.0	366	141871
142.871	0.0	600	142871
144.155	0.0	610	144155
145.239	0.0	333	145239
146.24	0.0	600	146240
147.223	0.0	610	147223
148.307	0.0	322	148307
149.308	0.0	600	149308
149.975	0.0	610	149975
151.059	0.0	441	151059
152.059	0.0	600	152059
152.743	0.0	610	152743
153.827	0.0	315	153827
154.827	0.0	600	154827
155.511	0.0	610	155511
156.595	0.0	334	156595
157.595	0.0	600	157595
158.212	0.0	610	158212
159.296	0.0	355	159296
160.297	0.0	600	160297
161.047	0.0	610	161047
162.131	0.0	341	162131
163.131	0.0	600	163131
163.848	0.0	610	163848
164.932	0.0	311	164932
165.933	0.0	600	165933
167.167	0.0	610	167167
168.251	0.0	363	168251
169.251	0.0	600	169251
170.002	0.0	610	170002
171.085	0.0	344	171085
172.086	0.0	600	172086
173.103	0.0	610	173103
174.187	0.0	326	174187
175.187	0.0	600	175187
175.871	0.0	610	175871
176.955	0.0	352	176955
177.956	0.0	600	177956
178.606	0.0	610	178606
186.393	0.0	160	186393
188.411	0.0	216	188411
189.511	0.0	530	189511
191.946	0.0	201	191946
193.964	0.0	110	193964
195.981	0.0	130	195981
