onset	duration	value	sample
13.754	0.0	144	13754
14.855	0.0	510	14855
17.289	0.0	241	17289
18.39	0.0	530	18390
20.824	0.0	154	20824
21.925	0.0	520	21925
24.359	0.0	220	24359
26.377	0.0	202	26377
28.395	0.0	204	28395
30.412	0.0	212	30412
31.513	0.0	530	31513
33.948	0.0	105	33948
35.965	0.0	145	35965
37.066	0.0	520	37066
39.5	0.0	260	39500
41.518	0.0	201	41518
43.536	0.0	265	43536
44.636	0.0	530	44636
47.071	0.0	230	47071
49.088	0.0	206	49088
51.106	0.0	166	51106
52.207	0.0	510	52207
54.641	0.0	226	54641
55.742	0.0	530	55742
58.176	0.0	110	58176
60.194	0.0	130	60194
62.212	0.0	111	62212
63.312	0.0	510	63312
65.747	0.0	106	65747
67.765	0.0	113	67765
68.865	0.0	520	68865
71.3	0.0	133	71300
72.4	0.0	510	72400
74.835	0.0	121	74835
75.935	0.0	520	75935
78.37	0.0	136	78370
79.47	0.0	520	79470
81.905	0.0	102	81905
83.923	0.0	120	83923
85.94	0.0	250	85940
87.958	0.0	104	87958
89.976	0.0	155	89976
91.076	0.0	510	91076
93.511	0.0	240	93511
95.528	0.0	162	95528
96.629	0.0	520	96629
99.064	0.0	205	99064
101.081	0.0	234	101081
102.182	0.0	530	102182
104.616	0.0	253	104616
105.717	0.0	530	105717
108.151	0.0	101	108151
110.169	0.0	103	110169
112.187	0.0	150	112187
114.204	0.0	203	114204
116.222	0.0	122	116222
117.323	0.0	510	117323
119.757	0.0	160	119757
121.775	0.0	210	121775
123.793	0.0	140	123793
127.828	0.0	355	127828
128.828	0.0	600	128828
130.079	0.0	610	130079
131.163	0.0	333	131163
132.163	0.0	600	132163
132.78	0.0	610	132780
133.864	0.0	426	133864
134.865	0.0	600	134865
135.532	0.0	610	135532
136.616	0.0	362	136616
137.616	0.0	600	137616
138.633	0.0	610	138633
139.717	0.0	345	139717
140.718	0.0	600	140718
142.202	0.0	610	142202
143.286	0.0	412	143286
144.286	0.0	600	144286
145.003	0.0	610	145003
146.087	0.0	366	146087
147.088	0.0	600	147088
