onset	duration	value	sample
12.019	0.0	250	12019
14.036	0.0	220	14036
16.054	0.0	101	16054
18.072	0.0	236	18072
19.172	0.0	530	19172
21.607	0.0	160	21607
23.624	0.0	202	23624
25.642	0.0	155	25642
26.743	0.0	510	26743
29.177	0.0	130	29177
31.195	0.0	252	31195
32.295	0.0	530	32295
34.73	0.0	136	34730
35.831	0.0	520	35831
38.265	0.0	111	38265
39.366	0.0	510	39366
41.8	0.0	204	41800
43.818	0.0	133	43818
44.918	0.0	510	44918
47.353	0.0	162	47353
48.454	0.0	520	48454
50.888	0.0	225	50888
51.989	0.0	530	51989
54.423	0.0	121	54423
55.524	0.0	520	55524
57.958	0.0	143	57958
59.059	0.0	520	59059
61.493	0.0	102	61493
63.511	0.0	205	63511
65.529	0.0	240	65529
67.546	0.0	106	67546
69.564	0.0	110	69564
71.582	0.0	166	71582
72.682	0.0	510	72682
75.117	0.0	201	75117
77.135	0.0	206	77135
79.152	0.0	210	79152
81.17	0.0	213	81170
82.271	0.0	530	82271
84.705	0.0	104	84705
86.723	0.0	150	86723
88.74	0.0	264	88740
89.841	0.0	530	89841
92.276	0.0	260	92276
94.293	0.0	115	94293
95.394	0.0	520	95394
97.828	0.0	122	97828
98.929	0.0	510	98929
101.363	0.0	140	101363
103.381	0.0	120	103381
105.399	0.0	105	105399
107.417	0.0	230	107417
109.434	0.0	144	109434
110.535	0.0	510	110535
114.07	0.0	530	114070
116.504	0.0	154	116504
117.605	0.0	520	117605
120.04	0.0	103	120040
122.057	0.0	203	122057
126.093	0.0	321	126093
127.093	0.0	600	127093
129.861	0.0	610	129861
130.945	0.0	441	130945
131.946	0.0	600	131946
132.896	0.0	610	132896
133.98	0.0	452	133980
134.98	0.0	600	134980
135.714	0.0	610	135714
136.798	0.0	344	136798
137.798	0.0	600	137798
138.532	0.0	610	138532
139.616	0.0	425	139616
140.617	0.0	600	140617
141.417	0.0	610	141417
142.501	0.0	366	142501
143.501	0.0	600	143501
144.352	0.0	610	144352
145.436	0.0	436	145436
146.436	0.0	600	146436
147.137	0.0	610	147137
148.22	0.0	315	148220
149.221	0.0	600	149221
150.655	0.0	610	150655
151.739	0.0	355	151739
152.739	0.0	600	152739
153.656	0.0	610	153656
154.74	0.0	322	154740
155.741	0.0	600	155741
156.758	0.0	610	156758
157.842	0.0	311	157842
158.842	0.0	600	158842
159.76	0.0	610	159760
160.843	0.0	413	160843
161.844	0.0	600	161844
162.544	0.0	610	162544
163.628	0.0	333	163628
164.629	0.0	600	164629
165.379	0.0	610	165379
166.463	0.0	343	166463
167.463	0.0	600	167463
168.581	0.0	610	168581
169.665	0.0	336	169665
170.665	0.0	600	170665
171.599	0.0	610	171599
172.683	0.0	464	172683
173.683	0.0	600	173683
174.317	0.0	610	174317
175.401	0.0	362	175401
176.401	0.0	600	176401
177.168	0.0	610	177168
178.252	0.0	354	178252
179.253	0.0	600	179253
180.02	0.0	610	180020
189.925	0.0	150	189925
191.942	0.0	262	191942
193.043	0.0	530	193043
195.477	0.0	131	195477
196.578	0.0	520	196578
199.013	0.0	243	199013
200.113	0.0	530	200113
202.548	0.0	203	202548
204.565	0.0	102	204565
206.583	0.0	260	206583
208.601	0.0	120	208601
210.618	0.0	144	210618
211.719	0.0	510	211719
214.154	0.0	240	214154
216.171	0.0	113	216171
217.272	0.0	520	217272
219.706	0.0	146	219706
220.807	0.0	520	220807
223.241	0.0	101	223241
225.259	0.0	155	225259
226.36	0.0	510	226360
228.794	0.0	104	228794
230.812	0.0	210	230812
232.83	0.0	206	232830
234.847	0.0	201	234847
236.865	0.0	111	236865
237.966	0.0	510	237966
240.4	0.0	125	240400
241.501	0.0	520	241501
243.935	0.0	250	243935
245.953	0.0	122	245953
247.053	0.0	510	247053
249.488	0.0	140	249488
251.506	0.0	110	251506
253.523	0.0	152	253523
254.624	0.0	520	254624
257.058	0.0	214	257058
258.159	0.0	530	258159
260.594	0.0	205	260594
262.611	0.0	133	262611
263.712	0.0	510	263712
266.146	0.0	106	266146
268.164	0.0	130	268164
270.182	0.0	256	270182
271.282	0.0	530	271282
273.717	0.0	204	273717
275.735	0.0	230	275735
277.752	0.0	166	277752
278.853	0.0	510	278853
281.287	0.0	202	281287
283.305	0.0	103	283305
285.323	0.0	164	285323
286.423	0.0	520	286423
288.858	0.0	220	288858
290.875	0.0	160	290875
292.893	0.0	235	292893
293.994	0.0	530	293994
296.428	0.0	221	296428
297.529	0.0	530	297529
299.963	0.0	105	299963
303.999	0.0	346	303999
304.999	0.0	600	304999
305.933	0.0	610	305933
307.017	0.0	355	307017
308.017	0.0	600	308017
308.901	0.0	610	308901
309.985	0.0	311	309985
310.986	0.0	600	310986
